Track Name,Artist Name(s),Album Name,Album Artist Name(s),Album Release Date,Disc Number,Track Number,Track Duration (ms),Track Preview URL,Popularity
"Milestones (feat. John Coltrane, Cannonball Adderley, Red Garland, Paul Chambers & Philly Joe Jones)","Miles Davis, John Coltrane, Cannonball Adderley, Red Garland, Paul Chambers, Philly Joe Jones",Milestones,Miles Davis,1958-04,1,4,342066,https://p.scdn.co/mp3-preview/4fe47c49e5ca36f32c0248bafed30baee5c439cc?cid=9950ac751e34487dbbe027c4fd7f8e99,57
Mean To Me - Remastered/1998,Dean Martin,This Time I'm Swingin',Dean Martin,1960,1,10,130253,,52
The Masquerade Is Over,"Nancy Wilson, Cannonball Adderley",Nancy Wilson/Cannonball Adderley,"Nancy Wilson, Cannonball Adderley",1962,1,5,258106,,55
You Go To My Head - 2020 Mix,Frank Sinatra,Nice 'n' Easy (2020 Mix / Expanded Edition),Frank Sinatra,1960-07-25,1,5,266800,,55
There Will Never Be Another You,"Lester Young, Oscar Peterson Trio",The President Plays With The Oscar Peterson Trio,"Lester Young, Oscar Peterson Trio",1959-06-02,1,11,205666,,61
Skating In Central Park,"Bill Evans, Jim Hall",Undercurrent,Bill Evans,1962,1,5,324200,,61
Bye Bye Blackbird,Etta Jones,Don't Go To Strangers (Rudy Van Gelder Remaster),Etta Jones,1960-01-01,1,9,194240,,59
Goodbye Pork Pie Hat,Charles Mingus,Mingus Ah Um,Charles Mingus,1959,1,2,342373,https://p.scdn.co/mp3-preview/05eba2024f734955141b525fbce773da11b50461?cid=9950ac751e34487dbbe027c4fd7f8e99,57
"Freddie Freeloader (feat. John Coltrane, Cannonball Adderley, Wynton Kelly & Paul Chambers)","Miles Davis, John Coltrane, Cannonball Adderley, Wynton Kelly, Paul Chambers",Kind Of Blue,Miles Davis,1959-08-17,1,2,586493,https://p.scdn.co/mp3-preview/f6ce6ee90bc089936ad3645a9e4828cba1ddf48d?cid=9950ac751e34487dbbe027c4fd7f8e99,55
The Sidewinder - Remastered 1999/Rudy Van Gelder Edition,Lee Morgan,The Sidewinder (The Rudy Van Gelder Edition),Lee Morgan,1999-01-01,1,1,625293,,50
